id,disease,symptoms,herbs_used,precautions,prevention,preparation
861,Tension Headache,"abdominal pain, anxiety, insomnia, joint pain, low energy, sore throat","Ginger, Manjistha","Avoid cold food, Do not overexert, Maintain hydration","Adequate sleep routine, Daily yoga practice","Using Ginger, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3773,Sinusitis,"burning sensation, headache, insomnia, low energy, muscle pain, nausea","Ashwagandha, Shatavari","Ensure adequate sleep, Light and warm diet","Herbal immune boosters, Regular exercise, Stress management","Using Ashwagandha, Shatavari, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3093,Gastritis,"constipation, dizziness, fever, loss of appetite, shortness of breath, sore throat","Amla, Bibhitaki, Gokshura","Avoid alcohol, Maintain hydration","Adequate sleep routine, Seasonal immunity support","Using Amla, Bibhitaki, Gokshura, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
467,Dry Cough,"anxiety, constipation, fever, frequent urination, muscle pain, shortness of breath","Amla, Bibhitaki, Brahmi, Shatavari","Avoid alcohol, Avoid oily food","Adequate sleep routine, Seasonal immunity support, Stress management","Using Amla, Bibhitaki, Brahmi, Shatavari, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4427,Psoriasis,"back pain, burning sensation, vomiting","Ginger, Gokshura, Haritaki, Turmeric","Avoid alcohol, Ensure adequate sleep","Daily yoga practice, Herbal immune boosters, Regular exercise","Using Ginger, Gokshura, Haritaki, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3445,Anxiety Disorder (Mild),"body ache, dizziness, frequent urination, insomnia, joint pain","Amla, Brahmi, Guduchi, Punarnava","Do not overexert, Maintain hydration","Balanced diet, Regular exercise, Stress management","Using Amla, Brahmi, Guduchi, Punarnava, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3172,Ear Infection (Mild),"diarrhea, dizziness, insomnia, productive cough","Arjuna, Manjistha","Avoid oily food, Avoid stress","Adequate sleep routine, Herbal immune boosters","Using Arjuna, Manjistha, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2920,Heat Exhaustion,"burning sensation, headache, insomnia","Amla, Ginger, Haritaki, Punarnava","Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Daily yoga practice","Using Amla, Ginger, Haritaki, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
131,Bronchitis,"chest discomfort, frequent urination, joint pain, shortness of breath, sore throat","Ginger, Gokshura, Haritaki, Neem","Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Ginger, Gokshura, Haritaki, Neem, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1686,Urinary Tract Infection,"dry cough, headache, joint pain, nausea, shortness of breath, vomiting","Bibhitaki, Pippali, Punarnava, Turmeric","Avoid alcohol, Avoid spicy food, Light and warm diet","Seasonal immunity support, Stress management","Using Bibhitaki, Pippali, Punarnava, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
770,Eye Irritation,"abdominal pain, body ache, itching","Ashwagandha, Manjistha, Neem, Turmeric","Avoid cold food, Avoid stress, Do not overexert","Balanced diet, Stress management","Using Ashwagandha, Manjistha, Neem, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2392,Bronchitis,"anxiety, chest discomfort, dry cough, fever, insomnia, muscle pain","Gokshura, Manjistha, Shatavari","Avoid cold food, Avoid stress, Light and warm diet","Adequate sleep routine, Seasonal immunity support, Stress management","Using Gokshura, Manjistha, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
